This worksheet is to be completed in case the action is fully (tab 1a) or partly (tab 1b) cost-based ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
   1.1.12 Sucafina - Project Manager (100%) ,"Manages Sucafina Indonesia's full project implementation in Central Aceh, overseeing training delivery to 2,000 coffee farmers, EUDR-aligned geolocation and traceability activities, coordination with WWF on ILM forum input, and field agronomist team supervision. Full-time allocation is required given the scale of Sucafina's field programme (2,000 farmers, 6 field facilitators) in a remote highland province.","EUR 1,333/month × 36 months = EUR 47,988. Rate reflects senior project manager salary at an internationally operating coffee company in Indonesia.",,,,,,
   1.1.13 Sucafina - Country Sustainability Manager (25%),"Provides strategic sustainability oversight for Sucafina Indonesia's programme activities, ensuring alignment with Sucafina's global sustainability framework (SBTi, living income, forest conservation goals), EUDR compliance requirements, and donor-facing reporting. Allocated at 25% FTE reflecting a senior advisory rather than operational role.","EUR 2,778/month × 9 months (25% of 36) = EUR 25,002. Higher monthly rate reflects senior management seniority and global sustainability expertise.",,,,,,
   1.1.14 Sucafina - Field facilitators - 6 persons (100%),"Six field facilitators provide the front-line delivery of farmer training (2,000 farmers in Aceh) in climate-smart agroforestry, regenerative agriculture and financial literacy (Activity 2.1.3). They also support baseline data collection, individual farm assessments, EUDR geolocation mapping, and distribution of farmer incentive packages. Six facilitators are required to maintain an acceptable farmer-to-facilitator ratio (approx. 333 farmers per facilitator) given the geographic spread of farming communities in Central Aceh.","EUR 425/month × 6 persons × 36 months = 216 person-months × EUR 425 = EUR 91,800. Rate reflects Indonesian agricultural extension worker/field facilitator salary in Aceh.",,,,,,
   1.1.15 Sucafina - Traceability and data expert (10%),"Provides specialist technical support for Sucafina's digital traceability and geolocation system for coffee supply chains in Central Aceh. This expert guides farmer geo-registration, EUDR deforestation analysis and IMS (Internal Management System) data architecture. Allocated at 10% FTE reflecting a specialised, advisory input rather than a full-time implementation role.","EUR 3,333/month × 3 months (10% of 36) = EUR 9,999. High monthly rate reflects senior digital/IT expertise in supply chain traceability.",,,,,,
   1.1.16 PT CAN - Project coordinator (100%),"Leads PT CAN's overall project implementation in Bangka/Belitung, coordinating all activities with Spice Hub managers, field staff, training coordinator and the Fairfood lead applicant. Responsible for operational planning, financial oversight, partner liaison, and progress reporting. Full-time allocation is necessary given PT CAN's wide remit covering 1,500 pepper farmers across multiple communities.","EUR 800/month × 36 months = EUR 28,800. Rate reflects PT CAN's internal pay scale for a project coordination role in Bangka.",,,,,,
   1.1.17 PT CAN - Project coordinator assistant (100%),"Supports the Project Coordinator with administrative, logistical and operational tasks. Manages documentation, stakeholder meeting scheduling, training coordination logistics and basic financial record-keeping. Full-time allocation required given the volume of field activities and events managed by PT CAN.","EUR 650/month × 36 months = EUR 23,400. Rate reflects junior coordination/administrative staff salary at PT CAN.",,,,,,
   1.1.18 PT CAN - Training Coordinator (100%),"Designs, schedules and delivers the farmer training programme for PT CAN's 1,500 pepper farmers in Bangka/Belitung. Responsible for developing training materials (Activity 2.1.1), organising ToT workshops, and linking training content to the agroforestry adoption protocols used by Spice Hub managers. Active over 30 months to cover training delivery and follow-up phases.","EUR 500/month × 30 months = EUR 15,000. Rate reflects mid-level trainer/agronomist salary in Bangka.",,,,,,
   1.1.19 PT CAN - Field Inspector (100%),"Conducts systematic farm visits to verify agroforestry adoption, collect field data for the MRV system, and assess compliance with programme standards across all PT CAN farmer groups. The Field Inspector also supports traceability verification in the PT CAN supply chain and contributes to EUDR geolocation data collection.","EUR 500/month × 36 months = EUR 18,000.",,,,,,
   1.1.20 PTCAN - Field Inspector Assistant (100%),"Assists the Field Inspector with farm visits, data entry, farmer engagement and administrative support for field monitoring activities. The assistant also supports the post-harvest facility operator and nursery operator during peak operational periods.","EUR 400/month × 36 months = EUR 14,400. Lower rate reflects junior field support level.",,,,,,
   1.1.21 PTCAN - Community Dev. Specialist (100%),"Leads PT CAN's community engagement and social mobilisation activities, including participatory farmer group formation, women's empowerment activities, community enterprise support (composting, nursery groups), and facilitation of community-level governance processes linked to Output 1.2 by-laws. Active over 30 months to cover key community development phases.","EUR 500/month × 30 months = EUR 15,000.",,,,,,
   1.1.22 PTCAN - Financial Inclusion Analyst (100%),"Analyses farmer financial needs and linkage opportunities, supports design of the results-based finance pilot in Bangka/Belitung (Pillar C), and facilitates connections with rural finance institutions. This role is directly linked to Outcome 3 (Results-Based Finance) and the Landscape Finance Approach design.","EUR 400/month × 36 months = EUR 14,400.",,,,,,
   1.1.23 PTCAN - Soil Microbiology Specialist (50%),"Provides technical guidance on soil health diagnostics, bio-compost quality testing and microbial analysis supporting the regenerative farming system (Activity 2.1.3). The specialist operates the PT CAN soil and plant health laboratory and provides technical input for training materials on soil management. Allocated at 50% reflecting specialist advisory rather than full-time operational role.","EUR 500/month × 18 months (50% of 36) = EUR 9,000.",,,,,,
   1.1.24 PTCAN - Nursery Operator (50%),"Manages daily operations of PT CAN's community nursery, including seedling production, mother plant maintenance, quality assurance and distribution logistics to farmer groups (Activity 2.1.2). The nursery is a core asset of PT CAN's agroforestry system and generates income that supports hub sustainability. Allocated at 50% to reflect shared operational time between nursery and other hub activities.","EUR 500/month × 18 months = EUR 9,000.",,,,,,
   1.1.25 PTCAN - Post-harvesting Operator (50%),"Manages PT CAN's post-harvest processing facility, ensuring quality standards in drying, sorting and packaging of pepper. Supports farmer groups on post-harvest best practices linked to Activity 2.1.5 (post-harvest and micro-enterprise support). Allocated at 50% to reflect shared operational responsibilities.","EUR 500/month × 18 months = EUR 9,000.",,,,,,
   1.1.26 PTKGF - Project Manager (70%),"Manages PT KGF's full project implementation across Lampung, covering agroforestry farmer training (1,500 farmers), nursery and demo farm operations, Change Maker coordination, financial inclusion activities and ILM engagement. Allocated at 70% reflecting partial cost-sharing with PT KGF's institutional operations. Active for 25 of 36 months, covering main implementation phases.","EUR 1,209/month × 25 months (70% allocation) = EUR 30,228. Rate reflects PT KGF senior management pay scale in Lampung.",,,,,,
   1.1.27 PTKGF - Technical manager (70%),"Provides technical oversight of PT KGF's agroforestry and regenerative farming activities, including demo farm management (LKC Demo Farm), nursery technical quality, Change Maker training content and soil health protocols. Coordinates technical input to the Digital MRV system. Allocated at 70% reflecting partial institutional cost-sharing.","EUR 1,209/month × 25 months = EUR 30,228. Rate mirrors Project Manager, reflecting equivalent seniority at PT KGF.",,,,,,
   1.1.28 PTKGF - Digital Solution Officer (100%),"Manages PT KGF's digital data systems, including the RFID seedling tracking system, digital farmer platform, MRV data uploads and integration with the consortium-wide Digital MRV platform. Directly supports Output 4.1 (Digital MRV system) and Output 2.1 (farmer data collection). Full-time allocation reflects the central role of digital data in PT KGF's programme model.","EUR 302/month × 36 months = EUR 10,883. Rate reflects entry-to-mid level digital officer salary in Lampung.",,,,,,
   1.1.29 PTKGF - Digital Solution Assistant (50%),"Provides data entry, system support and field data quality checking for the RFID tracking and digital MRV systems. Active for 15 months covering peak data collection phases in Years 1 and 2.","EUR 242/month × 15 months (50% allocation over intensive data periods) = EUR 3,629.",,,,,,
   1.1.30 PTKGF - Change Maker Coordinator (100%),"Coordinates the team of 10 Change Maker community agronomists across 8 villages in Lampung. Manages scheduling, quality of extension delivery, peer learning sessions, and ensures Change Makers correctly apply agroforestry protocols with farmers. Active for 30 months covering training roll-out and consolidation phases.","EUR 423/month × 30 months = EUR 12,696.",,,,,,
   1.1.31 PTKGF - Change maker  - 10 persons (100%),"Ten community-based Change Makers (community agronomists) are the front-line extension agents for PT KGF's farmer training programme in Lampung. Each Change Maker covers approximately 150 farmers in their community, delivering training in climate-smart agroforestry, soil health and regenerative practices (Activity 2.1.3). They also support data collection for the MRV system. Ten Change Makers are required to cover 8 villages across Lampung's geographically dispersed landscapes. Active over 30 months, reflecting the main implementation phase.","EUR 302/month × 10 persons × 30 months = EUR 90,690. Rate reflects community-level agronomist salary in rural Lampung.",,,,,,
   1.1.32 PTKGF - Farm Officer (100%),"Manages the LKC Demo Farm (ex-mine land rehabilitation site) and agroforestry demonstration plots, overseeing planting, maintenance, record-keeping and farm visits by farmers and stakeholders. Active over 30 months covering establishment and demonstration phases.","EUR 333/month × 30 months = EUR 9,975.",,,,,,
   1.1.33 PTKGF - Farm Assistant  - 2 persons (100%),"Two assistants support the Farm Officer with daily farm operations at the LKC Demo Farm, including seedling transplanting, irrigation, composting and record-keeping. Active over 30 months.","EUR 242/month × 2 persons × 30 months = EUR 14,514.",,,,,,
   1.1.34 PTKGF - Data Management Officer( 100%),"Manages PT KGF's farmer and programme data, including RFID tracking records, training attendance, adoption monitoring and reporting datasets. Ensures data quality and feeds information into the consortium's Digital MRV system (Pillar D). Active over 30 months covering main data collection periods.","EUR 363/month × 30 months = EUR 10,884.",,,,,,
   1.1.35 PTKGF - Data Management Assistant - 2 persons (100%),"Two assistants support data entry, field data verification and database management for PT KGF's MRV and farmer tracking systems. Active over 30 months.","EUR 181/month × 2 persons × 30 months = EUR 10,884.",,,,,,
   1.1.36 PTKGF -  Finance Manager (70%),"Manages PT KGF's programme financial accounts, prepares financial reports for the consortium, oversees procurement compliance and supports audit preparation. Allocated at 70% reflecting partial cost-sharing with PT KGF institutional finance. Active 24 of 36 months covering main financial management periods.","EUR 544/month × 24 months (70% allocation) = EUR 13,058.",,,,,,
   1.1.37 PTKGF -  Finance and Admin Assistant (100%),"Provides administrative and financial support for PT KGF's programme operations, including invoice management, petty cash, supplier payments and documentation. Active over 32 months.","EUR 212/month × 32 months = EUR 6,771.",,,,,,
   1.1.38 PTKGF - Finance Inclusion Officer (100%),"Supports the implementation of the results-based finance pilot in Lampung (Pillar C), including facilitation of access to rural credit, financial literacy training for farmers (Activity 2.1.3), and monitoring of farmer uptake of financial services. Active over 25 months during the main finance inclusion delivery phase.","EUR 363/month × 25 months = EUR 9,070.",,,,,,
   1.1.39 PTKGF - Operation Manager (100%),"Manages PT KGF's overall field operations including logistics, supply chains for nursery and demo farm inputs, field vehicle scheduling, staff deployment, and coordination between Spice Hubs and village-level activities. Active over 34 months.","EUR 423/month × 34 months = EUR 14,389.",,,,,,
   1.1.40 Verstegen - Implementation Expert (30%),"Supports Verstegen's field implementation activities in Bangka/Belitung, overseeing quality standards adoption, green sourcing model development and EUDR-compliance data flows from PT CAN. Allocated at 30% reflecting Verstegen's advisory and quality assurance rather than direct field delivery role.","EUR 1,103/month × 10.8 months (30% of 36) = EUR 11,909. Rate reflects Verstegen Indonesia local management staff scale.",,,,,,
   1.1.41 Verstegen -Quality Assurance Team (20%),"Monitors quality standards and traceability compliance along the Verstegen pepper supply chain, including periodic farm and post-harvest facility audits and deforestation-free verification. Allocated at 20% reflecting specialist quality oversight role.","EUR 553/month × 7.2 months (20% of 36) = EUR 3,983.",,,,,,
   1.1.42 Verstegen - Quality Control Team 20%),"Manages laboratory testing and physical quality control of pepper products within the Verstegen supply chain, ensuring compliance with EU food safety and sustainability standards. Supports the EUDR due diligence data collection process.","EUR 435/month × 7.2 months (20% of 36) = EUR 3,133.",,,,,,
   1.1.43 Verstegen - Field Officer Team (100%),"Field-based liaison and compliance officer for Verstegen in the Bangka/Belitung pepper landscape. Conducts regular farm visits to support deforestation-free verification, farmer profile documentation and traceability chain-of-custody checks. Full-time allocation reflects continuous field presence required for supply chain compliance.","EUR 220/month × 36 months = EUR 7,909.",,,,,,
"1.2 Salaries (gross salaries including social security charges and other related costs, expat/int. staff)",,,,,,,,
   1.2.1 Fairfood - Program manager (30%),"The Program Manager provides overall strategic leadership of aGROWforests+ from Fairfood's Netherlands office. Responsibilities include consortium coordination, donor relationship management (EC), partner governance oversight, Landscape Finance Approach alignment with European institutional investors, and senior-level representation with the European Commission. Allocated at 30% reflecting shared programme leadership across Fairfood's portfolio.","EUR 8,500/month (gross salary including Dutch employer social charges) × 10.8 months (30% of 36) = EUR 91,800. Rate based on Fairfood Netherlands senior programme manager pay scale, benchmarked against Dutch NGO sector norms.",,,,,,
   1.2.2 Fairfood - Donor Engagement manager (15%),"Manages Fairfood's donor relationships and reporting obligations to the European Commission. Responsible for timely submission of narrative and financial reports, donor compliance queries, and maintaining the project's relationship with the EC contracting officer. Allocated at 15% reflecting regular but not full-time engagement with the EC throughout the programme.","EUR 8,500/month × 5.4 months (15% of 36) = EUR 45,900.",,,,,,
   1.2.3 Fairfood - Corporate Partnerships Manager (20%),"Manages Fairfood's engagement with EU and Dutch corporate partners including Verstegen and potential new buyers. Supports development of green sourcing agreements, co-financing contributions from private sector partners, and linkage between buyer commitments (EUDR, sustainability targets) and programme activities. Allocated at 20% reflecting regular engagement with corporate partners.","EUR 8,500/month × 7.2 months (20% of 36) = EUR 61,200.",,,,,,
   1.2.4 Fairfood - Financial Adviser (20%),"Provides financial management oversight from Fairfood Netherlands, ensuring EC grant financial compliance, supporting the design of the Landscape Finance Approach (LFA) financial model, and overseeing sub-grant disbursement to five co-applicants. Allocated at 20% reflecting advisory oversight rather than day-to-day financial management (handled by WWF Grant & Finance Specialist).","EUR 8,500/month × 7.2 months = EUR 61,200.",,,,,,
   1.2.5 Fairfood - Communications Adviser (20%),"Oversees Fairfood's communications strategy for aGROWforests+, including EU-facing storytelling, SWITCH-Asia programme contributions, consumer-facing content supporting Verstegen's transparency approach, and project visibility materials. Ensures all communications comply with EU visibility guidelines.","EUR 8,500/month × 7.2 months = EUR 61,200.",,,,,,
   1.2.6 Fairfood - PME & Learning Manager (25%),"Oversees the programme's overall PME framework, coordinates baseline and endline studies, supports the Digital MRV system design (Pillar D), facilitates consortium-wide learning sessions, and feeds into SWITCH-Asia programme-level learning and knowledge management. Allocated at 25% reflecting specialist advisory input across all phases.","EUR 8,500/month × 9 months (25% of 36) = EUR 76,500.",,,,,,
   1.2.7 Sucafina -  APAC Sustainability Manager (10%),"Provides strategic sustainability oversight from Sucafina's Asia-Pacific management level, ensuring alignment between the aGROWforests+ programme and Sucafina's global sustainability commitments (SBTi, living income benchmarks, forest conservation policy). Reviews programme-level sustainability reporting and escalates any material issues to Sucafina's global leadership. Allocated at 10% reflecting a senior oversight rather than operational function.","EUR 4,762/month × 3.6 months (10% of 36) = EUR 17,143.",,,,,,
   1.2.8 Sucafina - Subject matter specialists (Human rights/agronomy/program design) (advise per hour when needed),"Specialist advisory hours from Sucafina's international expert pool covering human rights due diligence, agronomy and programme design. These inputs are called upon as needed rather than on a scheduled basis — for instance, to review EUDR compliance approaches, provide agronomic guidance on specific pest or soil issues raised by field teams, or advise on programme design challenges. The 0.75 month equivalent reflects total advisory time budgeted over 3 years.","EUR 5,143/month equivalent × 0.75 months = EUR 3,857. Calculated as approximately 15 days of specialist advisory time over 3 years at EUR 257/day.",,,,,,
   1.2.9 Verstegen - Program / Project manager (30%),"Senior programme management at Verstegen Netherlands responsible for overall co-applicant accountability, supply chain strategy alignment with EU buyers, EUDR compliance programme management and strategic direction for Verstegen's activities within aGROWforests+. Allocated at 30% reflecting shared leadership across Verstegen's global sustainability programme portfolio.","EUR 8,744/month × 10.8 months (30% of 36) = EUR 94,435. Rate reflects senior programme manager salary at a Dutch mid-sized food company with sustainability mandate.",,,,,,
   1.2.10 Verstegen - Agroforestry Expert (15%),"Provides specialist agroforestry technical guidance to the programme, including review of species selection protocols, canopy management approaches, and integration of Verstegen's internal agroforestry standards. This expert links Verstegen's commitment to 50% sustainably grown raw materials by 2030 with the programme's field-level agroforestry implementation approach.","EUR 6,440/month × 5.4 months (15% of 36) = EUR 34,776.",,,,,,
   1.2.11 Verstegen - Program Management Senior (5%),"Senior oversight of Verstegen's co-applicant governance and fiduciary responsibilities. Provides executive sign-off on programme documents, financial commitments and strategic decisions related to Verstegen's co-financing contribution. Allocated at 5% reflecting executive-level oversight.","EUR 11,901/month × 1.8 months (5% of 36) = EUR 21,422. High monthly rate reflects C-suite management level.",,,,,,
   1.2.12 Verstegen - CFO Verstegen (5%),"The CFO oversees Verstegen's financial obligations as co-applicant, including verification of co-financing contributions and financial risk management related to the grant agreement. The 5% allocation reflects periodic financial oversight rather than active project management.","EUR 11,872/month × 1.8 months = EUR 21,370.",,,,,,
   1.2.13 Verstegen - Marketing Team (5%),Supports Verstegen's consumer engagement and product branding activities linked to the programme's verified deforestation-free sourcing claims and blockchain transparency approach. The Marketing Team contributes to SWITCH-Asia Specific Objective 3 (consumer awareness) by translating field-level performance data into credible consumer-facing impact communications.,"EUR 6,752/month × 1.8 months (5% of 36) = EUR 12,154.",,,,,,
1.3 Per diems for missions,,,,,,,,
   1.3.1 Abroad (staff assigned to the action) - SEA ,"Per diems for consortium staff attending regional SWITCH-Asia knowledge events, learning exchanges and partner coordination meetings within Southeast Asia (excluding Indonesia domestic travel). Attendance is required to present programme findings, contribute to SWITCH-Asia regional learning agenda, and engage with regional donor coordination. Approximately 3 regional trips over 3 years for senior programme staff.","EUR 35/diem × 30 diem-days = EUR 1,050. Rate reflects EC per-diem scale for SEA destinations. Approximately 10 diem-days per year.",,,,,,
   1.3.2 Local (staff assigned to the action) - Indonesia,"Daily subsistence allowances for all consortium staff conducting domestic field missions across Sumatra's three target provinces (Bangka/Belitung, Lampung, Aceh). Required for: farmer training delivery; ILM forum facilitation; participatory mapping fieldwork; baseline/endline data collection; nursery and demo plot oversight; Spice Hub management visits; government coordination meetings; and MRV system field testing. The high volume (2,050 diem-days over 3 years) reflects the six-partner consortium's continuous field presence across three geographically dispersed provinces.","EUR 25/diem × 2,050 diem-days = EUR 51,250. Rate based on Indonesian domestic NGO/MSME subsistence norms. Covers all six partners' field staff.",,,,,,
   1.3.3 Seminar/conference participants,"Subsistence allowances for external participants (farmer leaders, local government representatives, civil society partners) attending project-organised national events, learning sessions and consortium-level workshops. External participants attend from remote locations and require subsistence support to enable inclusive participation in programme governance, learning and peer exchange events.","EUR 30/diem × 150 diem-days = EUR 4,500. Estimated 50 participant-days per year across approximately 2 major events per year.",,,,,,
Subtotal Human Resources,,,,0.0,,,,0.0
2. Travel,,,,0.0,,,,
2.1 International travel ,,,,,,,,
   2.1.1 International travel (Amsterdam/EU - Indonesia),"Return flights for Fairfood program and advisory staff (programme management visits, donor reporting, field supervision) and Verstegen staff (value chain and EUDR alignment missions) travelling between Amsterdam/EU and Jakarta/Sumatra. These visits are required to maintain strategic alignment between the EU-based lead applicant and European buyer partners with field implementation teams in Indonesia. Also covers Sucafina APAC and specialist advisor travel from Singapore/regional offices.","EUR 2,000/flight × 15 return flights over 36 months = EUR 30,000. Rate reflects economy class return fare Amsterdam–Jakarta. Breakdown: Fairfood 8, Sucafina APAC 3, Verstegen 2, other 2.",,,,,,
   2.1.2  International travel (SEA - Indonesia),"Regional flights for consortium staff or visitors attending cross-country SWITCH-Asia exchanges, regional coordination meetings and field visits from other Southeast Asian locations (e.g., Singapore, Bangkok, Kuala Lumpur). Supports regional knowledge-sharing obligations under the SWITCH-Asia programme.","EUR 350/flight × 10 flights = EUR 3,500. Rate reflects economy class short-haul regional fare.",,,,,,
2.2 Local transportation,,,,,,,,
   2.2.1. Fairfood - Local transportation,"Monthly local transport allowance for Fairfood's Indonesia-based M&E and Country Program Manager staff covering inter-city travel within Sumatra for field supervision, partner liaison and government meetings in Jakarta and across the three target provinces.","EUR 200/month × 36 months = EUR 7,200.",,,,,,
   2.2.2. WWF - Local transportation,"Monthly local transport budget for WWF Indonesia's full field team (Project Leader, Technical Officers, Stakeholder Engagement Officers, PMEL Officer) covering travel between Lampung and Aceh landscapes, Jakarta office and government coordination visits. Higher budget reflects WWF's geographic coverage of two provinces plus national coordination.","EUR 1,500/month × 36 months = EUR 54,000. Covers inter-provincial field travel (flights/ferries between Lampung, Aceh and Jakarta), car hire and ground transport.",,,,,,
   2.2.3. Sucafina - Local transportation,"Monthly local transport for Sucafina Indonesia's field management staff and Project Manager covering travel between Medan, Central Aceh (Bener Meriah/Aceh Tengah), and Jakarta for programme coordination. Active for 35 months reflecting the full implementation period minus inception month.","EUR 750/month × 35 months = EUR 26,250.",,,,,,
   2.2.4. PT CAN - Local transportation,"Monthly local transport for PT CAN management and coordination staff covering travel between Pangkalpinang, Bangka field sites, Palembang and Jakarta for programme and donor meetings.","EUR 700/month × 36 months = EUR 25,200.",,,,,,
   2.2.5. PT KGF - Local transportation,"Monthly local transport for PT KGF management staff covering travel between Lampung field sites (Tanggamus, West Lampung districts), Bandar Lampung and Jakarta for consortium coordination and government liaison.","EUR 700/month × 36 months = EUR 25,200.",,,,,,
   2.2.6. Verstegen - Local transportation,"Monthly local transport for Verstegen's Indonesia-based Field Officer Team covering pepper farm visits, PT CAN coordination and quality assurance missions in Bangka/Belitung.","EUR 300/month × 36 months = EUR 10,800.",,,,,,
2.3 Hotels ,"Hotel accommodation for consortium staff during multi-day domestic field missions across Bangka/Belitung, Lampung and Aceh. Required when field sites are too remote for same-day return travel. Covers overnight stays for all partner teams during training delivery, ILM forum facilitation, monitoring visits, government coordination and partner coordination missions.","EUR 60/night × 1,100 nights over 3 years = EUR 66,000. Covers all consortium partners' overnight field stays. EUR 60 reflects average mid-range accommodation cost in provincial Indonesian towns.",,,,,,
Subtotal Travel,,,,0.0,,,,
3. Equipment and supplies,,,,,,,,
3.1. Rent of vehicles ,,,,,,,,
"   3.1.1 PT CAN - car/motor bike rent, maintenance, gasoline, etc. ","PT CAN rents vehicles (motorcycles and light vehicles) to enable field staff to access pepper farming communities, nursery sites, post-harvest facilities and Spice Hubs in remote Bangka areas not reachable by public transport. Vehicles are essential for training delivery, monitoring visits and supply chain coordination across PT CAN's operational geography.","EUR 3,000/vehicle unit × 6 units over 3 years = EUR 18,000. Covers rental, fuel, maintenance and insurance costs per vehicle-unit.",,,,,,
"   3.1.2 PT KGF - rent of vehicles (motorcycle), 14 units","PT KGF rents 14 motorcycles for Change Maker field facilitators (10 Change Makers plus supervisory staff) to reach farming communities across 8 dispersed villages in Lampung. Motorcycles are the only practical transport option in rural Lampung's terrain for frequent farm visits, data collection and training delivery.","EUR 50/month × 14 units × 36 months = 504 motorcycle-months × EUR 50 = EUR 25,200. Rate reflects typical motorcycle rental rates in rural Lampung.",,,,,,
